stock_name,stock_type,stock_symbol,stock_country,,,,,,,,,,,,
신한제16호스팩,KOSDAQ,496070,KR,,,,,,,,,,,,
인투셀,KOSDAQ,287840,KR,,,,,,,,,,,,
달바글로벌,KOSPI,483650,KR,,,,,,,,,,,,
바이오비쥬,KOSDAQ,489460,KR,,,,,,,,,,,,
이뮨온시아,KOSDAQ,424870,KR,,,,,,,,,,,,
바이오포트,KOSDAQ,188040,KR,,,,,,,,,,,,
티씨머티리얼즈,KOSDAQ,125020,KR,,,,,,,,,,,,
로킷헬스케어,KOSDAQ,376900,KR,,,,,,,,,,,,
오가노이드사이언스,KOSDAQ,476040,KR,,,,,,,,,,,,
원일티엔아이,KOSDAQ,136150,KR,,,,,,,,,,,,
나우로보틱스,KOSDAQ,459510,KR,,,,,,,,,,,,
에이아이코리아,KOSDAQ,364950,KR,,,,,,,,,,,,
쎄크,KOSDAQ,81180,KR,,,,,,,,,,,,
한국피아이엠,KOSDAQ,448900,KR,,,,,,,,,,,,
에이유브랜즈,KOSDAQ,481070,KR,,,,,,,,,,,,
우양에이치씨,KOSDAQ,101970,KR,,,,,,,,,,,,
더즌,KOSDAQ,462860,KR,,,,,,,,,,,,
심플랫폼,KOSDAQ,444530,KR,,,,,,,,,,,,
티엑스알로보틱스,KOSDAQ,484810,KR,,,,,,,,,,,,
한텍,KOSDAQ,98070,KR,,,,,,,,,,,,
한화플러스제5호스팩,KOSDAQ,498390,KR,,,,,,,,,,,,
씨케이솔루션,KOSPI,480370,KR,,,,,,,,,,,,
서울보증보험,KOSPI,31210,KR,,,,,,,,,,,,
에스엠씨지,KOSDAQ,460870,KR,,,,,,,,,,,,
엠디바이스,KOSDAQ,226590,KR,,,,,,,,,,,,
대진첨단소재,KOSDAQ,393970,KR,,,,,,,,,,,,
에르코스,KOSDAQ,435570,KR,,,,,,,,,,,,
엘케이켐,KOSDAQ,489500,KR,,,,,,,,,,,,
위너스,KOSDAQ,479960,KR,,,,,,,,,,,,
모티브링크,KOSDAQ,463480,KR,,,,,,,,,,,,
동국생명과학,KOSDAQ,303810,KR,,,,,,,,,,,,
오름테라퓨틱,KOSDAQ,475830,KR,,,,,,,,,,,,
동방메디컬,KOSDAQ,240550,KR,,,,,,,,,,,,
아이에스티이,KOSDAQ,212710,KR,,,,,,,,,,,,
LG씨엔에스,KOSPI,64400,KR,,,,,,,,,,,,
아이지넷,KOSDAQ,462980,KR,,,,,,,,,,,,
피아이이,KOSDAQ,452450,KR,,,,,,,,,,,,
삼양엔씨켐,KOSDAQ,482630,KR,,,,,,,,,,,,
데이원컴퍼니,KOSDAQ,373160,KR,,,,,,,,,,,,
아스테라시스,KOSDAQ,450950,KR,,,,,,,,,,,,
와이즈넛,KOSDAQ,96250,KR,,,,,,,,,,,,
미트박스,KOSDAQ,475460,KR,,,,,,,,,,,,
유안타제17호스팩,KOSDAQ,493790,KR,,,,,,,,,,,,
블랙야크아이앤씨,KOSDAQ,478560,KR,,,,,,,,,,,,
오션스바이오,,332190,KR,,,,,,,,,,,,
엠에프씨,KOSDAQ,432980,KR,,,,,,,,,,,,
파인메딕스,KOSDAQ,387570,KR,,,,,,,,,,,,
쓰리에이로직스,KOSDAQ,177900,KR,,,,,,,,,,,,
GS피앤엘,KOSPI,499790,KR,,,,,,,,,,,,
신한제14호스팩,KOSDAQ,487360,KR,,,,,,,,,,,,
유비씨,,495810,KR,,,,,,,,,,,,
창대정밀,,368030,KR,,,,,,,,,,,,
듀켐바이오,KOSDAQ,176750,KR,,,,,,,,,,,,
키움제10호스팩,KOSDAQ,487720,KR,,,,,,,,,,,,
에스지헬스케어,KOSDAQ,398120,KR,,,,,,,,,,,,
온코닉테라퓨틱스,KOSDAQ,476060,KR,,,,,,,,,,,,
온코크로스,KOSDAQ,382150,KR,,,,,,,,,,,,
벡트,KOSDAQ,457600,KR,,,,,,,,,,,,
엠앤씨솔루션,KOSPI,484870,KR,,,,,,,,,,,,
셀로맥스사이언스,KOSDAQ,471820,KR,,,,,,,,,,,,
에이엠시지,,495900,KR,,,,,,,,,,,,
KB제31호스팩,KOSDAQ,492220,KR,,,,,,,,,,,,
키움제11호스팩,KOSDAQ,489480,KR,,,,,,,,,,,,
KB발해인프라,KOSPI,415640,KR,,,,,,,,,,,,
디비금융제13호스팩,KOSDAQ,489730,KR,,,,,,,,,,,,
교보17호스팩,KOSDAQ,489210,KR,,,,,,,,,,,,
대신밸런스제19호스팩,KOSDAQ,482690,KR,,,,,,,,,,,,
위츠,KOSDAQ,459100,KR,,,,,,,,,,,,
유디엠텍,KOSDAQ,389680,KR,,,,,,,,,,,,
RF시스템즈,KOSDAQ,474610,KR,,,,,,,,,,,,
사이냅소프트,KOSDAQ,466410,KR,,,,,,,,,,,,
하나34호스팩,KOSDAQ,484130,KR,,,,,,,,,,,,
에스켐,KOSDAQ,475660,KR,,,,,,,,,,,,
엠오티,KOSDAQ,413390,KR,,,,,,,,,,,,
신한제15호스팩,KOSDAQ,487830,KR,,,,,,,,,,,,
쓰리빌리언,KOSDAQ,394800,KR,,,,,,,,,,,,
닷밀,KOSDAQ,464580,KR,,,,,,,,,,,,
노머스,KOSDAQ,473980,KR,,,,,,,,,,,,
에어레인,KOSDAQ,163280,KR,,,,,,,,,,,,
토모큐브,KOSDAQ,475960,KR,,,,,,,,,,,,
더본코리아,KOSPI,475560,KR,,,,,,,,,,,,
HEM파마,KOSDAQ,376270,KR,,,,,,,,,,,,
에이럭스,KOSDAQ,475580,KR,,,,,,,,,,,,
탑런토탈솔루션,KOSDAQ,336680,KR,,,,,,,,,,,,
성우,KOSDAQ,458650,KR,,,,,,,,,,,,
유진스팩11호,KOSDAQ,488060,KR,,,,,,,,,,,,
타조이엔터테인먼트,,476710,KR,,,,,,,,,,,,
클로봇,KOSDAQ,466100,KR,,,,,,,,,,,,
에이치엔에스하이텍,KOSDAQ,44990,KR,,,,,,,,,,,,
웨이비스,KOSDAQ,289930,KR,,,,,,,,,,,,
씨메스,KOSDAQ,475400,KR,,,,,,,,,,,,
한켐,KOSDAQ,457370,KR,,,,,,,,,,,,
루미르,KOSDAQ,474170,KR,,,,,,,,,,,,
와이제이링크,KOSDAQ,209640,KR,,,,,,,,,,,,
인스피언,KOSDAQ,465480,KR,,,,,,,,,,,,
셀비온,KOSDAQ,308430,KR,,,,,,,,,,,,
제닉스로보틱스,KOSDAQ,381620,KR,,,,,,,,,,,,
차이커뮤니케이션,KOSDAQ,351870,KR,,,,,,,,,,,,
한화비전,KOSPI,489790,KR,,,,,,,,,,,,
KB제30호스팩,KOSDAQ,486630,KR,,,,,,,,,,,,
아이언디바이스,KOSDAQ,464500,KR,,,,,,,,,,,,
미래에셋비전스팩7호,KOSDAQ,482680,KR,,,,,,,,,,,,
아이비젼웍스,KOSDAQ,469750,KR,,,,,,,,,,,,
아이스크림미디어,KOSDAQ,461300,KR,,,,,,,,,,,,
이엔셀,KOSDAQ,456070,KR,,,,,,,,,,,,
M83,KOSDAQ,476080,KR,,,,,,,,,,,,
티디에스팜,KOSDAQ,464280,KR,,,,,,,,,,,,
넥스트바이오메디컬,KOSDAQ,389650,KR,,,,,,,,,,,,
케이쓰리아이,KOSDAQ,431190,KR,,,,,,,,,,,,
전진건설로봇,KOSPI,79900,KR,,,,,,,,,,,,
유라클,KOSDAQ,88340,KR,,,,,,,,,,,,
교보16호스팩,KOSDAQ,482520,KR,,,,,,,,,,,,
뱅크웨어글로벌,KOSDAQ,199480,KR,,,,,,,,,,,,
아이빔테크놀로지,KOSDAQ,460470,KR,,,,,,,,,,,,
피앤에스로보틱스,KOSDAQ,460940,KR,,,,,,,,,,,,
